Collocation (Bigram),PMI Score,Contains Seed
fault inject,13.460679860145538,True
attack surfac,12.460679860145538,True
latenc entertain,11.875717359424382,True
latenc media,11.875717359424382,True
millisecond latenc,11.875717359424382,True
premis latenc,11.875717359424382,True
fargat fault,11.460679860145538,True
depth attack,11.138751765258176,True
downtim latenc,10.875717359424382,True
reduct attack,10.875717359424382,True
downtim higher,10.138751765258176,True
impair recov,9.460679860145538,True
recov brought,9.460679860145538,True
digit latenc,9.290754858703226,True
downtim engag,9.290754858703226,True
inlin downtim,9.290754858703226,True
low latenc,8.875717359424382,True
less downtim,8.875717359424382,True
failur pre-condit,8.70579235798207,True
failur temptat,8.70579235798207,True
impair failur,8.70579235798207,True
latenc engag,8.70579235798207,True
multi-point failur,8.70579235798207,True
remain latenc,8.70579235798207,True
resolut failur,8.70579235798207,True
widest failur,8.70579235798207,True
failur mode,8.561402448646893,True
load overcom,8.460679860145538,True
recov overwrit,8.460679860145538,True
recov high-level,8.460679860145538,True
load tutori,8.460679860145538,True
load proxim,8.460679860145538,True
load proxi,8.460679860145538,True
load front,8.460679860145538,True
appsync load,8.460679860145538,True
load alb,8.460679860145538,True
intra-workload load,8.460679860145538,True
inter load,8.460679860145538,True
compat load,8.460679860145538,True
cognit load,8.460679860145538,True
latenc end,8.416285740787085,True
due latenc,8.290754858703226,True
erad recov,8.23828743880909,True
architectur fault,8.212752346701953,True
fault simul,8.212752346701953,True
load balanc,8.148735853830797,True
result downtim,8.138751765258174,True
failur assumpt,8.120829857260913,True
minim downtim,8.068362437366776,True
latenc local,8.068362437366776,True
anticip failur,7.7057923579820695,True
decreas failur,7.7057923579820695,True
failur count,7.7057923579820695,True
vulner attack,7.6277898459807965,True
ai-pow avail,7.483399936645621,True
amazonprovideddn avail,7.483399936645621,True
avail bandwidth,7.483399936645621,True
avail translat,7.483399936645621,True
data-level avail,7.483399936645621,True
docker avail,7.483399936645621,True
minim latenc,7.483399936645621,True
recov lost,7.460679860145538,True
load geograph,7.460679860145538,True
load ssltl,7.460679860145538,True
triag recov,7.460679860145538,True
load amplifi,7.460679860145538,True
behind load,7.460679860145538,True
file load,7.460679860145538,True
bring recov,7.460679860145538,True
failur disrupt,7.383864263094707,True
listen load,7.138751765258175,True
load gwlb,7.138751765258175,True
preserv recov,7.138751765258175,True
recov aect,7.138751765258175,True
recov disrupt,7.138751765258175,True
recov preserv,7.138751765258175,True
conrm failur,7.120829857260913,True
gateway load,6.9301651434467555,True
avail examin,6.898437435924465,True
recov come,6.875717359424382,True
load mutual,6.875717359424382,True
load etl,6.875717359424382,True
game recov,6.875717359424382,True
edg load,6.875717359424382,True
load challeng,6.875717359424382,True
mitig downtim,6.845970016030329,True
disast failur,6.7057923579820695,True
failur resili,6.7057923579820695,True
resili failur,6.7057923579820695,True
recov accident,6.653324938087934,True
perform onto,6.518165354806298,True
tri perform,6.518165354806298,True
tailor perform,6.518165354806298,True
perform translat,6.518165354806298,True
perform smallest,6.518165354806298,True
perform real-world,6.518165354806298,True
perform preliminari,6.518165354806298,True
perform pcap,6.518165354806298,True
perform dilig,6.518165354806298,True
perform cater,6.518165354806298,True
